1234 886 851 418 341 273 39 54 1513 835 766 391 286 217 34 54 2591 715 401 249 46 25 21 48
1537 1002 604 408 221 205 70 49 1552 1158 541 340 222 182 50 51 2380 975 342 216 88 29 25 41
2745 641 377 186 65 48 11 23 2815 585 364 182 71 44 11 24 3114 428 330 145 36 14 9 20
2080 1793 189 11 6 5 5 7 2077 1796 189 11 6 5 5 7 2077 1796 189 11 6 5 5 7
790 2558 701 24 7 6 4 6 846 2511 696 20 7 6 4 6 1009 2392 661 11 7 6 4 6
145 71 2239 1461 168 6 5 1 167 512 3071 332 7 2 5 0 3332 664 56 35 2 1 6 0
77 61 1255 2600 96 7 0 0 95 249 2888 826 33 5 0 0 3170 887 18 14 4 3 0 0
1 349 883 2222 430 88 51 72 9 541 1927 1356 138 52 37 36 2169 1611 171 52 33 27 19 14
319 379 348 385 239 16 26 2384 408 344 482 328 108 19 23 2384 1358 239 31 25 19 19 28 2377
144 234 33 14 12 20 115 3524 226 157 30 13 13 20 110 3527 331 57 25 14 13 20 114 3522
1966 797 263 254 270 273 195 78 1909 912 429 335 172 131 149 59 2084 849 430 289 140 115 145 44
1088 793 399 884 400 260 204 68 1030 1025 928 612 161 147 167 26 2040 844 526 230 151 141 150 14
1095 946 522 867 259 210 148 49 1009 1359 623 686 173 173 68 5 1822 1255 403 235 163 172 45 1
379 812 1006 760 378 224 149 388 339 1021 1138 669 343 181 31 374 891 1091 935 340 309 128 28 374
363 948 810 631 337 101 69 837 362 1033 937 565 245 110 27 817 970 1097 658 218 205 95 37 816
